Name,RA_1,DEC_1,R_AUTO
2dFGRSTGS848Z606,58.94358333333333,-36.26204722222222,15.303243
2MASXJ03262503-3707417,51.60416666666667,-37.128210833333334,15.115872
2MASXJ03324763-3414194,53.1984875,-34.23872222222222,14.17715
2MASXJ03352407-3621496,53.85037499999999,-36.363816666666665,14.932604
2MASXJ03381926-3507447,54.58027083333334,-35.12909444444445,15.067927
2MASXJ03405042-3544534,55.21007041666667,-35.74843611111111,15.138319
2MASXJ03414141-3510119,55.42254166666666,-35.16999722222222,15.322523
2MASXJ03451407-3656123,56.30870833333334,-36.93667222222222,14.604118
2MASXJ03494903-3556440,57.45424166666667,-35.94566666666667,14.750265
6dFGSgJ032512.2-325409,51.30104166666668,-32.90269444444444,15.421895
6dFGSgJ033147.6-350305,52.948625,-35.05152777777778,14.632967
6dFGSgJ033312.8-360103,53.303458333333325,-36.01733333333333,15.262402
6dFGSgJ033333.9-333423,53.389583333333334,-33.57194444444445,14.288768
6dFGSgJ033612.9-360959,54.05391666666667,-36.16638888888889,15.61657
6dFGSgJ033821.5-351535,54.5895,-35.25970944444445,15.598481
6dFGSgJ034033.9-350123,55.141083333333334,-35.02261111111111,15.094288
6dFGSgJ034121.4-334611,55.33970833333334,-33.769222222222226,15.064122
6dFGSgJ034145.5-334729,55.43941666666667,-33.79186111111111,15.461171
6dFGSgJ034432.9-351146,56.137249999999995,-35.19577777777778,15.568311
6dFGSgJ034545.4-362046,56.439166666666665,-36.34652777777778,15.55793
ESO301-8,50.5955,-37.397305555555555,14.733044
ESO357-25,50.905320833333334,-35.77838055555556,14.372317
ESO357-29,51.33375,-36.385555555555555,12.994722
ESO358-19,53.62864583333334,-34.29764888888889,14.682499
ESO358-21/NGC1373,53.746700000000004,-35.17118055555556,13.148751
ESO358-22,53.83481666666667,-32.60228333333333,12.732192
ESO358-23/NGC1374,53.819158333333334,-35.22625,10.857476
ESO358-24/NGC1375,53.820007916666675,-35.265660833333335,12.139591
ESO358-27/NGC1379,54.016416666666665,-35.441175,10.842527
ESO358-28/NGC1380,54.114958333333334,-34.9763,9.72241
ESO358-33,54.197916666666664,-34.73966111111111,12.222488
ESO358-35/NGC1386,54.19265833333333,-35.999275,10.936921
ESO358-37/NGC1382,54.287304166666665,-35.195025,12.601008
ESO358-42,54.538091666666666,-34.51853611111111,14.652563
ESO358-43,54.55666458333333,-33.12721722222222,14.125016
ESO358-49,55.0375,-35.62611111111111,13.549687
ESO358-50,55.26503333333334,-33.77930833333333,12.763961
ESO358-56,55.84429583333334,-33.94036111111111,14.615039
ESO358-59,56.264808333333335,-35.97260277777778,13.112637
ESO358-6,51.8252,-34.526430555555564,12.712742
ESO358-61,56.4786,-36.356925000000004,12.941327
ESO358-66,56.969416666666675,-36.47168611111111,14.470904
ESO359-2,57.653012499999996,-35.909308333333335,13.490309
FCCB729,52.88341666666667,-38.06272222222222,15.362999
IC1919,51.50922083333334,-32.894535,12.97702
IC1963,53.879287500000004,-34.44708333333333,11.922925
LEDA13449,54.80591666666667,-35.371027777777776,14.551176
LEDA13452,54.83166666666667,-35.72472222222222,15.327217
LEDA13749,56.249791666666674,-36.31997222222222,15.25968
LEDA13839,56.78404166666666,-36.327527777777775,15.5721245
LEDA74521,52.216541666666664,-33.84591666666667,15.745543
LEDA74617,52.69254166666666,-35.549416666666666,15.70787
LEDA74618,52.69416666666667,-35.35472222222222,16.490314
LEDA74792,54.391708333333334,-35.829211111111114,16.960901
LEDA74873,55.11258333333334,-36.4989,15.760493
LEDA74896,55.230583333333335,-37.838,15.743245
LEDA74983,56.39066666666667,-37.083222222222226,15.3299
LEDA74998,56.90583333333333,-36.36222222222222,16.95217
MCG-06-08-024,52.7844,-36.29011111111111,14.080414
MCG-06-08-025,52.85341666666667,-35.33097222222222,13.842133
MCG-06-08-027,53.62280833333333,-35.546397222222225,13.891392
MCG-06-09-008,54.22629166666667,-35.374722222222225,13.837425
MCG-06-09-023,55.688750000000006,-33.920563888888886,13.76203
NGC1326,50.984987499999995,-36.46466111111111,10.288905
NGC1336,51.634162499999995,-35.713572222222226,12.180995
NGC1369/ESO358-34,54.18856666666667,-36.25625,12.769996
NGC1381,54.1319125,-35.295205555555555,11.257331
NGC1396,54.52735833333334,-35.43989722222222,14.517588
NGC1399,54.621179166666664,-35.450741666666666,9.270777
NGC1404,54.716320833333334,-35.59439166666667,9.644664
NGC1419,55.17550000000001,-37.51083333333333,12.425097
NGC1427,55.58101958333334,-35.39255277777778,10.693008
NGC1428,55.59541666666667,-35.153333333333336,12.567916
NGC1436,55.9045375,-35.853052777777776,11.376131
NGC1460,56.557295833333335,-36.696308333333334,12.367186
