,Name,JClass
0,2dFGRSTGS848Z606,0
1,2MASXJ03262503-3707417,0
2,2MASXJ03324763-3414194,0
3,2MASXJ03352407-3621496,0
4,2MASXJ03381926-3507447,0
5,2MASXJ03405042-3544534,0
6,2MASXJ03414141-3510119,0
7,2MASXJ03451407-3656123,0
8,2MASXJ03494903-3556440,0
9,6dFGSgJ032512.2-325409,0
10,6dFGSgJ033147.6-350305,0
11,6dFGSgJ033312.8-360103,0
12,6dFGSgJ033333.9-333423,0
13,6dFGSgJ033612.9-360959,0
14,6dFGSgJ033821.5-351535,0
15,6dFGSgJ034033.9-350123,0
16,6dFGSgJ034121.4-334611,0
17,6dFGSgJ034145.5-334729,0
18,6dFGSgJ034432.9-351146,0
19,ESO301-8,0
20,ESO358-19,0
21,ESO358-21,0
22,ESO358-22,0
23,ESO358-23,0
24,ESO358-24,0
25,ESO358-27,0
26,ESO358-28,0
27,ESO358-33,0
28,ESO358-35,0
29,ESO358-37,0
30,ESO358-42,0
31,ESO358-43,0
32,ESO358-50,0
33,ESO358-56,0
34,ESO358-59,0
35,ESO358-61,0
36,ESO358-66,0
37,ESO359-2,0
38,IC1919,0
39,IC1963,0
40,LEDA13449,0
41,LEDA13452,0
42,LEDA13749,0
43,LEDA13839,0
44,LEDA74521,0
45,LEDA74617,0
46,LEDA74618,0
47,LEDA74792,0
48,LEDA74873,0
49,LEDA74896,0
50,LEDA74983,0
51,MCG-06-08-024,0
52,MCG-06-08-025,0
53,MCG-06-08-027,0
54,MCG-06-09-008,0
55,NGC1326,0
56,NGC1336,0
57,NGC1369,0
58,NGC1381,0
59,NGC1396,0
60,NGC1399,0
61,NGC1404,0
62,NGC1419,0
63,NGC1427,0
64,NGC1428,0
65,LEDA74998,0
66,NGC1436,0
67,NGC1460,0
68,ESO357-25,0
69,ESO358-6,0
70,FCCB729,0
0,2MASXJ10282351-2646143,0
1,2MASXJ10283402-2655294,0
2,2MASXJ10295767-2606054,0
3,2MASXJ10320651-2627531,0
4,2MASXJ10322945-2611532,0
5,2MASXJ10380074-2630076,0
6,2MASXJ10411260-2610222,0
7,2MASXJ10425254-2613199,0
8,2MASXJ10425254-2613199_2,0
9,2MASXJ10433425-2636536,0
10,2MASXJ10463276-2631418,0
11,6dFGSgJ102924.3-262712,0
12,6dFGSgJ103114.1-283956,0
13,6dFGSgJ104025.5-275251,0
14,6dFGSgJ104617.1-282524,0
15,ESO501-10,0
16,ESO501-66,0
17,ESO436-34,0
18,ESO436-46,0
19,ESO437-11,0
20,ESO437-13,0
21,ESO437-17,0
22,ESO437-9,0
23,ESO501-13,0
24,ESO501-17,0
25,ESO501-2,0
26,ESO501-25,0
27,ESO501-3,0
28,ESO501-35,0
29,ESO501-51,0
30,ESO501-56,0
31,ESO501-63,0
32,ESO501-7,0
33,ESO501-78,0
34,IC2586,0
35,LEDA744203,0
36,LEDA772211,0
37,NGC3309,0
38,NGC3311,0
39,NGC3285,0
40,NGC3308,0
41,UNKNOWN1,0
42,UNKNOWN2,0
43,UNKNOWN3,0
44,UNKNOWN5,0
45,NGC1351,0
46,2MASXJ03152575-3131130,0
47,ESO35810,0
48,ESO35825,0
49,ESO35851,0
50,ESO3589,0
51,IC1993,0
52,IC2006,0
53,NGC1316,0
54,NGC1317,0
55,NGC1350,0
56,NGC1366,0
57,NGC1387,0
58,NGC1389,0
59,2MASXJ10294837-3525077,0
60,2MASXJ10295128-3509507,0
61,2MASXJ10295304-3522307,0
62,2MASXJ10340867-3438013,0
63,ESO375-41,0
64,ESO375-59,0
65,ESO375-60,0
66,ESO375-62,0
67,ESO375-64,0
68,ESO375-28,0
69,ESO375-57,0
70,ESO375-63,0
71,IC2584,0
72,NGC3258,0
73,NGC3269,0
74,NGC3281,0
75,NGC3289,0
76,UNKNOWN8,0
77,NGC1365,0
78,2MASXJ10292838-3440214,0
79,IC1904,0
80,6dFGSgJ103416.6-283406,0
81,ESO501-42,0
82,ESO501-45,0
83,ESO501-68,0
84,ESO501-75,0
85,ESO501-8,0
86,ESO501-82,0
87,ESO501-59,0
88,2MASXJ03150668-3343490,0
89,2MASXJ03542014-3658077,0
90,ESO417-20,0
91,ESO418-9,0
92,MCG-05-08-020,0
93,ESO375-53,0
94,NGC3249,0
95,2MASXJ10370719-2752211,0
96,2MFGC8182,0
97,6dFGSgJ103206.7-260151,0
98,ESO437-3,0
99,ESO501-47,0
100,ESO501-53,0
101,ESO501-60,0
102,UNKNOWN4,0
103,TSK2008846,0
104,ESO35710,0
105,ESO35727,0
106,ESO3585,0
107,IC1913,0
108,2MASXJ10302530-3533483,0
109,ESO375-26,0
110,ESO375-68,0
111,LEDA662179,0
0,6dFGSgJ040053.2-351416,4
1,ESO501-65,4
2,ESO418-8,4
3,LEDA83201,4
4,NGC1341,4
5,sn2004gi,4
6,2MASXJ03235400-3730449,3
7,2dFGRSTGS471Z004,3
8,6dFGSgJ103645.4-281005,3
9,6dFGSgJ103719.9-281420,3
10,ESO358-49,3
11,NGC1437A,3
12,ESO375-70,3
13,ESO35867,3
14,LEDA83062,3
15,2MASXJ10280313-3526317,2
16,2MASXJ10344507-3528144,2
17,6dFGSgJ040520.4-364859,2
18,6dFGSgJ103639.3-34452,2
19,ESO500-46,2
20,ESO437-2,2
21,ESO501-22,2
22,ESO501-39,2
23,MCG-06-23-034,2
24,MCG-06-23-043,2
25,ESO35717,2
26,ESO35815,2
27,ESO35820,2
28,ESO418-13,2
29,IC2573,2
30,NGC1310,2
31,2MASXJ03325811-3531462,1
32,6dFGSgJ032504.2-365540,1
33,6dFGSgJ034545.4-362046,1
34,6dFGSgJ103650.7-260919,1
35,ESO357-29,1
36,ESO437-25,1
37,MCG-06-09-023,1
38,ESO375-61,1
39,ESO501-18,1
40,ESO35863,1
41,ESO359-16,1
42,IC1885,1
43,LEDA83102,1
44,LEDA83120,1
45,LEDA83155,1
46,NGC3336,1
47,NGC1288,1
48,NGC1484,1
49,NGC1492,1
50,NGC3312,1
