,Galaxy,RA,dec,Cluster,JClass,Selection
0,6dFGSgJ040053.2-351416,60.22167,-35.23767,Fornax,4,Sample
2,#ESO418-8,52.877708,-30.213333,Fornax,4,Sample
4,NGC1341,51.9917,-37.1494,Fornax,4,Sample
6,2MASXJ03235400-3730449,50.9708,-37.5083,Fornax,3,Sample
7,2dFGRSTGS471Z004,49.8542,-32.6503,Fornax,3,Sample
11,NGC1437A,55.7591,-36.2734,Fornax,3,Sample
13,ESO35867,57.025,-36.7022,Fornax,3,Sample
17,6dFGSgJ040520.4-364859,61.3333,-36.8158,Fornax,2,Sample
25,ESO35717,50.2292,-33.7167,Fornax,2,Sample
26,ESO35815,53.2792,-34.8094,Fornax,2,Sample
27,ESO35820,53.7375,-32.6408,Fornax,2,Sample
28,ESO418-13,54.175,-30.7372,Fornax,2,Sample
30,NGC1310,50.2625,-37.1008,Fornax,2,Sample
31,2MASXJ03325811-3531462,53.2375,-35.5286,Fornax,1,Sample
32,6dFGSgJ032504.2-365540,51.2667,-36.9267,Fornax,1,Sample
40,ESO35863,56.5792,-34.9458,Fornax,1,Sample
41,ESO359-16,61.1042,-36.1797,Fornax,1,Sample
42,IC1885,46.6708,-32.8642,Fornax,1,Sample
47,NGC1288,49.3083,-32.5756,Fornax,1,Sample
48,NGC1484,58.5708,-36.9708,Fornax,1,Sample
49,NGC1492,59.5542,-35.4467,Fornax,1,Sample
