Galaxy,RA,dec,Cluster,JClass
6dFGSgJ040053.2-351416,60.22167,-35.23767,Fornax,4
ESO501-65,159.638667,-27.737472,Hydra,4
#ESO418-8,52.877708,-30.213333,Fornax,4
LEDA83201,157.955495,-35.205816,Antlia,4
NGC1341,51.9917,-37.1494,Fornax,4
sn2004gi,159.854,-27.9125,Hydra,4
2MASXJ03235400-3730449,50.9708,-37.5083,Fornax,3
2dFGRSTGS471Z004,49.8542,-32.6503,Fornax,3
6dFGSgJ103645.4-281005,159.192,-28.1672,Hydra,3
6dFGSgJ103719.9-281420,159.337,-28.2372,Hydra,3
ESO358-49,55.0375,-35.6261,Fornax,3
NGC1437A,55.7591,-36.2734,Fornax,3
ESO375-70,158.967,-34.27,Antlia,3
ESO35867,57.025,-36.7022,Fornax,3
LEDA83062,157.404,-35.0103,Antlia,3
2MASXJ10280313-3526317,157.012,-35.4422,Antlia,2
2MASXJ10344507-3528144,158.687,-35.4708,Antlia,2
6dFGSgJ040520.4-364859,61.3333,-36.8158,Fornax,2
6dFGSgJ103639.3-34452,159.162,-34.7564,Antlia,2
ESO500-46,157.392,-26.3269,Hydra,2
ESO437-2,158.75,-28.0789,Hydra,2
ESO501-22,158.842,-27.6958,Hydra,2
ESO501-39,159.212,-26.0414,Hydra,2
MCG-06-23-034,157.296,-35.6875,Antlia,2
MCG-06-23-043,157.608,-35.1083,Antlia,2
ESO35717,50.2292,-33.7167,Fornax,2
ESO35815,53.2792,-34.8094,Fornax,2
ESO35820,53.7375,-32.6408,Fornax,2
ESO418-13,54.175,-30.7372,Fornax,2
IC2573,155.875,-35.4556,Antlia,2
NGC1310,50.2625,-37.1008,Fornax,2
2MASXJ03325811-3531462,53.2375,-35.5286,Fornax,1
6dFGSgJ032504.2-365540,51.2667,-36.9267,Fornax,1
6dFGSgJ034545.4-362046,56.4392,-36.3465,Fornax,1
6dFGSgJ103650.7-260919,159.212,-26.1553,Hydra,1
ESO357-29,51.3337,-36.3856,Fornax,1
ESO437-25,159.667,-28.5689,Hydra,1
MCG-06-09-023,55.6887,-33.9206,Fornax,1
ESO375-61,158.117,-36.5339,Antlia,1
ESO501-18,158.654,-27.6528,Hydra,1
ESO35863,56.5792,-34.9458,Fornax,1
ESO359-16,61.1042,-36.1797,Fornax,1
IC1885,46.6708,-32.8642,Fornax,1
LEDA83102,157.525,-36.1067,Antlia,1
LEDA83120,157.587,-35.5925,Antlia,1
LEDA83155,157.729,-34.8903,Antlia,1
NGC3336,160.071,-27.7772,Hydra,1
NGC1288,49.3083,-32.5756,Fornax,1
NGC1484,58.5708,-36.9708,Fornax,1
NGC1492,59.5542,-35.4467,Fornax,1
NGC3312,160.475,-27.5636,Hydra,1
